"locus_tag" "ftype" "length_bp" "gene" "EC_number" "COG" "product" "ec"
"9" "BIGMCDDJ_00009" "CDS" 135 "rpmH" "" "" "50S ribosomal protein L34" "0"
"68" "BIGMCDDJ_00068" "CDS" 429 "qoxD" "1.10.3.-" "" "Quinol oxidase subunit 4" "1"
"171" "BIGMCDDJ_00171" "CDS" 741 "bdbD" "" "COG1651" "Disulfide bond formation protein D" "0"
"172" "BIGMCDDJ_00172" "CDS" 405 "bdbC" "" "COG1495" "Disulfide bond formation protein C" "0"
"269" "BIGMCDDJ_00269" "CDS" 1020 "pdxA2_2" "1.1.1.409" "COG1995" "D-erythronate 4-phosphate dehydrogenase" "1"
"270" "BIGMCDDJ_00270" "CDS" 1320 "denK" "2.7.1.220" "COG3395" "D-erythronate kinase" "2"
"271" "BIGMCDDJ_00271" "CDS" 780 "srlR_1" "" "COG1349" "Glucitol operon repressor" "0"
"335" "BIGMCDDJ_00335" "CDS" 630 "rhtB_1" "" "COG1280" "Homoserine/homoserine lactone efflux protein" "0"
"347" "BIGMCDDJ_00347" "CDS" 651 "wecA" "2.7.8.40" "" "UDP-N-acetylgalactosamine-undecaprenyl-phosphate N-acetylgalactosaminephosphotransferase" "2"
"351" "BIGMCDDJ_00351" "CDS" 753 "tuaG" "2.4.-.-" "COG0463" "Putative teichuronic acid biosynthesis glycosyltransferase TuaG" "2"
"386" "BIGMCDDJ_00386" "CDS" 744 "iolX_1" "1.1.1.370" "COG0673" "scyllo-inositol 2-dehydrogenase (NAD(+))" "1"
"394" "BIGMCDDJ_00394" "CDS" 1062 "iolW" "1.1.1.371" "COG0673" "scyllo-inositol 2-dehydrogenase (NADP(+)) IolW" "1"
"398" "BIGMCDDJ_00398" "CDS" 2157 "cadA" "3.6.3.3" "" "Cadmium-transporting ATPase" "3"
"405" "BIGMCDDJ_00405" "CDS" 789 "nhoA" "2.3.1.5" "COG2162" "Arylamine N-acetyltransferase" "2"
"462" "BIGMCDDJ_00462" "CDS" 318 "ureA" "3.5.1.5" "COG0831" "Urease subunit gamma" "3"
"463" "BIGMCDDJ_00463" "CDS" 378 "ureB" "3.5.1.5" "COG0832" "Urease subunit beta" "3"
"464" "BIGMCDDJ_00464" "CDS" 1710 "ureC" "3.5.1.5" "COG0804" "Urease subunit alpha" "3"
"474" "BIGMCDDJ_00474" "CDS" 555 "yiaM" "" "COG3090" "2,3-diketo-L-gulonate TRAP transporter small permease protein YiaM" "0"
"487" "BIGMCDDJ_00487" "CDS" 372 "hcaB_1" "1.3.1.87" "" "3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase" "1"
"489" "BIGMCDDJ_00489" "CDS" 1179 "garD" "4.2.1.42" "COG2721" "Galactarate dehydratase (L-threo-forming)" "4"
"527" "BIGMCDDJ_00527" "CDS" 909 "rmlA" "2.7.7.24" "COG1209" "Glucose-1-phosphate thymidylyltransferase" "2"
"531" "BIGMCDDJ_00531" "CDS" 1125 "vioA" "2.6.1.33" "" "dTDP-4-amino-4,6-dideoxy-D-glucose transaminase" "2"
"564" "BIGMCDDJ_00564" "CDS" 642 "rhtB_2" "" "COG1280" "Homoserine/homoserine lactone efflux protein" "0"
"576" "BIGMCDDJ_00576" "CDS" 1425 "patA" "2.3.1.-" "COG1696" "Peptidoglycan O-acetyltransferase" "2"
"581" "BIGMCDDJ_00581" "CDS" 1077 "tagB" "2.7.8.44" "COG1887" "Teichoic acid glycerol-phosphate primase" "2"
